id	aroE	ddl	gdh	gki	recP	spi	xpt	Sp_cgc_1000
100	7	14	11	10	5	6	8	
101	1	8	5	4	1	5	1	
102	8	17	9	2	1	6	1	
103	12	20	5	13	5	17	4	
104	7	14	5	8	5	5	1	
105	12	20	5	13	5	17	4	
106	8	17	9	2	1	6	1	
107	12	20	5	13	5	17	4	
108	8	14	13	14	4	17	4	
109	8	17	9	2	1	6	1	
110	1	8	5	4	5	17	1	
111	1	8	5	4	5	17	1	
112	7	1	11	10	1	5	18	
113	1	6	8	4	1	5	4	
114	1	6	8	9	1	5	4	
115	2	1	13	2	4	6	1	
116	2	14	1	18	1	19	19	
117	8	14	13	14	4	17	4	
118	15	26	16	19	15	6	20	
119	1	8	5	4	5	5	1	
120	1	8	5	4	5	5	1	
121	12	20	5	13	5	17	4	
122	1	8	5	4	5	5	1	
123	8	17	9	2	1	6	1	
124	8	17	9	2	1	6	1	
125	2	14	5	1	11	16	3	
126	7	14	5	8	5	10	6	
127	15	17	17	4	16	6	19	
128	2	27	7	4	10	10	1	
129	7	14	5	8	5	10	6	
130	15	26	16	19	15	6	20	
131	7	22	15	2	10	6	1	
132	7	22	15	2	10	6	1	
133	16	18	13	4	5	6	10	
134	16	18	13	4	5	6	10	
135	8	17	9	2	1	6	1	
136	8	17	9	2	1	6	1	
137	8	17	9	2	1	6	1	
138	7	14	5	1	8	14	11	
139	7	14	5	1	8	14	11	
140	7	14	5	1	8	1	11	
141	10	9	18	4	1	7	19	
142	12	20	8	1	5	17	4	
143	12	20	8	1	5	17	4	
144	17	28	8	13	5	17	4	
145	12	20	5	13	5	17	4	
146	16	14	13	20	5	6	10	
147	16	14	13	4	5	6	10	
148	10	18	5	4	5	13	10	
149	16	14	13	20	5	6	10	
150	16	14	13	4	5	6	10	
151	8	14	13	14	4	1	4	
152	2	14	5	21	12	10	21	
153	12	14	19	2	17	6	22	
154	7	14	5	1	8	6	11	
155	7	1	11	10	1	6	8	
156	8	17	9	2	1	6	1	
157	8	17	9	2	1	6	1	
158	8	17	9	2	1	6	1	
159	8	17	9	2	1	6	1	
160	8	17	9	2	1	10	1	
161	7	1	11	10	1	1	8	
162	7	1	11	10	1	20	8	
163	7	14	11	10	1	1	8	
164	7	1	11	10	1	21	8	
165	7	1	11	10	1	1	8	
166	7	22	15	2	10	6	1	
167	13	1	9	15	14	4	16	
168	7	22	15	2	10	10	1	
169	7	22	15	2	10	7	1	
170	7	22	15	2	10	10	1	
171	10	29	20	14	1	6	1	
172	10	29	20	14	1	5	1	
173	10	29	20	14	1	6	1	
174	10	29	20	14	1	9	1	
175	10	29	20	14	1	10	1	
176	7	28	2	4	2	22	20	
177	7	14	5	8	5	10	6	
178	7	14	5	8	5	10	6	
179	7	14	13	8	6	6	6	
180	7	14	5	8	5	5	6	
181	1	6	5	9	1	14	14	
182	7	21	2	1	5	10	1	
183	7	21	2	1	5	10	1	
184	7	6	2	1	10	6	1	
185	7	30	2	1	1	6	1	
186	2	14	14	4	12	1	1	
187	5	4	5	7	7	8	5	
188	2	14	14	4	12	1	1	
189	2	14	14	4	12	1	1	
190	2	14	14	4	12	1	1	
191	4	1	4	2	4	5	1	
192	1	6	8	6	2	6	4	
193	7	8	13	1	6	5	6	
194	1	6	8	6	2	5	4	
195	1	6	8	6	2	22	4	
196	1	6	8	4	1	23	4	
197	10	29	20	14	1	23	1	
198	18	14	2	22	1	9	23	
199	2	27	7	4	10	10	1	
200	10	29	20	14	1	6	1	
201	7	14	11	10	1	10	8	
202	7	14	9	8	5	10	6	
203	7	14	11	10	1	10	8	
204	1	8	5	4	5	10	1	
205	7	14	5	1	8	9	11	
206	10	29	20	14	1	10	1	
207	7	21	2	1	1	10	1	
208	7	14	11	10	1	10	8	
209	2	27	7	4	10	10	1	
210	7	14	11	10	1	6	8	
211	7	14	11	10	1	6	8	
212	10	29	20	14	4	6	1	
213	7	1	11	10	1	6	8	
214	1	8	5	4	5	5	1	
215	10	29	20	14	1	6	1	
216	7	22	15	2	10	6	1	
217	2	1	5	23	18	10	3	
218	1	6	8	4	1	1	4	
219	7	14	11	10	12	6	8	
220	7	14	5	8	5	10	6	
221	7	21	2	24	1	10	24	
222	1	8	10	4	1	9	3	
223	7	21	2	25	1	10	1	
224	7	21	2	1	1	24	1	
225	7	5	5	1	8	14	11	
226	7	21	2	1	1	10	1	
227	12	20	5	13	5	17	4	
228	1	6	8	4	1	1	4	
229	7	21	2	4	19	10	10	
230	7	14	21	26	1	10	25	
231	7	8	13	8	6	25	6	
232	7	22	15	27	10	6	1	
233	1	1	5	2	20	1	1	
234	8	17	9	2	1	6	1	
235	1	8	5	4	5	5	1	
236	1	8	5	4	5	5	1	
237	7	14	5	8	5	10	6	
238	8	1	10	2	16	1	26	
239	1	8	5	4	5	5	1	
240	1	8	5	4	5	5	1	
241	10	18	5	17	5	13	10	
242	1	8	5	4	5	5	1	
243	1	8	5	4	5	5	1	
244	7	14	5	1	8	14	14	
245	1	8	5	4	5	5	27	
246	5	4	6	1	2	6	3	
247	7	14	22	1	2	5	1	
248	7	14	5	8	18	10	6	
249	7	14	13	4	6	10	6	
250	1	8	5	4	5	5	1	
251	7	31	23	1	1	14	28	
252	1	8	5	4	5	5	1	
253	7	14	5	1	8	14	11	
254	1	14	5	4	5	5	1	
255	10	18	5	4	5	13	10	
256	10	14	13	2	1	6	19	
257	8	1	13	2	16	1	26	
258	1	8	5	4	5	5	1	
259	1	8	5	4	5	5	1	
260	1	8	5	4	1	5	1	
261	7	21	2	1	1	10	1	
262	2	31	24	2	4	9	4	
263	2	14	13	4	1	6	6	
264	8	17	9	2	1	6	1	
265	1	14	5	7	12	26	1	
266	1	6	5	9	1	9	14	
267	6	5	25	1	5	27	29	
268	8	17	9	2	1	6	1	
269	7	28	25	4	2	15	1	
270	7	21	2	1	1	10	1	
271	1	6	8	1	2	6	4	
272	1	14	26	28	11	13	30	
273	2	18	5	29	18	9	3	
274	8	14	13	14	4	17	4	
275	2	31	27	2	4	9	4	
276	7	14	10	1	1	6	31	
277	2	1	5	23	18	10	3	
278	16	14	13	4	5	6	10	
279	10	9	8	30	5	6	1	
280	2	14	5	1	11	6	3	
281	7	14	5	1	8	14	11	
282	19	6	5	9	1	9	14	
283	7	22	15	2	10	6	1	
284	8	17	9	2	1	6	1	
285	2	14	5	1	11	6	3	
286	7	14	5	1	8	22	11	
287	7	14	5	1	8	14	11	
288	7	14	5	1	8	14	11	
289	2	14	5	1	11	16	3	
290	7	14	5	1	8	6	11	
291	7	21	2	1	1	10	1	
292	1	8	5	31	5	5	3	
293	2	32	5	12	10	6	10	
294	16	14	13	4	5	6	10	
295	2	31	27	2	4	9	32	
296	1	8	5	4	5	5	3	
297	7	14	5	1	8	10	11	
298	16	14	13	4	5	6	10	
299	7	1	10	19	16	14	7	
300	8	17	9	2	1	6	1	
301	16	33	12	9	1	15	33	
302	10	31	16	32	1	6	28	
303	8	17	9	2	1	6	1	
304	8	17	9	2	1	6	1	
305	7	14	2	1	10	27	4	
306	7	1	11	10	1	6	34	
307	10	29	20	14	1	6	1	
308	1	14	26	28	11	6	1	
309	7	1	11	10	1	6	8	
310	8	14	13	14	4	9	4	
311	10	29	20	14	1	6	1	
312	7	14	6	1	1	6	15	
313	7	14	11	10	1	6	8	
314	7	1	11	10	1	6	8	
315	7	22	15	2	10	6	1	
316	7	27	5	8	8	6	6	
317	7	14	11	10	1	6	8	
318	7	22	15	2	10	6	1	
319	1	6	8	4	1	1	4	
320	1	8	5	4	12	5	27	
321	8	34	13	4	8	6	22	
322	7	14	5	1	8	14	11	
323	18	8	5	4	1	6	35	
324	10	18	5	4	5	13	10	
325	7	1	5	10	18	6	8	
326	7	1	5	10	18	6	8	
327	7	1	11	10	1	6	8	
328	7	1	11	10	1	6	8	
329	20	14	28	1	1	28	14	
330	20	35	28	1	1	15	14	
331	7	36	13	8	1	10	6	
332	7	36	13	8	1	29	6	
333	7	37	13	8	1	10	6	
334	7	37	13	8	1	10	6	
335	7	1	5	10	18	6	8	
336	21	36	13	8	1	10	6	
337	7	36	13	8	1	10	6	
338	15	1	16	19	15	6	20	
339	15	26	16	19	15	6	20	
340	22	14	16	19	15	6	20	
341	15	14	29	4	21	9	1	
342	15	14	29	4	21	30	1	
343	15	26	16	19	15	6	20	
344	15	26	16	19	15	6	20	
345	15	26	16	19	15	6	20	
346	15	26	16	19	15	6	20	
347	15	14	29	4	21	30	1	
348	15	14	29	4	21	30	1	
349	4	1	4	2	4	4	1	
350	15	26	16	19	15	6	20	
351	15	26	16	19	15	6	20	
352	15	26	16	19	15	6	20	
353	4	1	4	2	4	4	1	
354	8	38	11	10	1	6	36	
355	15	14	29	4	21	30	1	
356	15	14	29	4	21	30	1	
357	5	4	6	33	2	6	3	
358	15	14	29	4	21	30	1	
359	15	26	16	19	15	6	20	
360	15	14	29	4	21	30	1	
361	15	39	16	19	15	30	20	
362	15	26	16	19	15	6	20	
363	4	1	4	2	4	4	1	
364	15	26	16	19	15	6	20	
365	4	1	4	2	4	4	1	
366	15	26	16	19	15	6	20	
367	4	1	4	2	4	6	1	
368	15	26	16	19	15	6	20	
369	15	26	16	19	15	6	20	
370	7	1	11	10	1	6	1	
371	4	1	4	2	4	4	1	
372	15	1	29	4	21	30	1	
373	15	26	16	19	15	6	20	
374	4	1	4	2	4	4	1	
375	2	1	8	7	4	6	1	
376	15	26	16	19	15	6	20	
377	15	26	16	19	15	6	20	
378	4	1	4	2	4	6	1	
379	15	26	16	19	15	6	20	
380	15	14	29	4	21	30	1	
381	15	14	29	4	21	30	1	
382	4	1	4	2	4	6	1	
383	4	1	4	2	4	6	1	
384	15	26	16	19	15	6	20	
385	15	26	16	19	15	6	20	
386	4	1	4	2	4	4	1	
387	15	26	16	19	15	6	20	
388	4	1	4	2	4	4	1	
389	15	26	16	19	15	6	20	
390	10	31	13	19	16	6	37	
391	23	41	1	4	16	6	1	
392	7	14	30	34	10	6	19	
393	10	18	13	34	16	6	1	
394	10	5	13	34	15	15	28	
395	4	1	4	2	4	6	1	
396	15	26	16	19	15	6	20	
397	5	31	8	4	16	6	1	
398	15	14	29	4	21	30	1	
399	10	14	13	6	1	6	38	
400	1	14	12	4	16	31	1	
401	10	1	13	6	1	6	38	
402	15	1	16	19	15	6	20	
403	15	14	29	4	21	30	1	
404	15	1	16	19	15	6	20	
405	15	1	16	19	15	6	20	
406	2	42	13	9	15	6	19	
407	4	1	4	2	4	4	1	
408	10	1	13	6	1	6	38	
409	15	26	16	19	15	6	20	
410	4	1	4	2	4	4	1	
411	4	1	4	2	4	4	1	
412	4	1	4	2	4	4	1	
413	15	1	16	19	15	6	20	
414	15	14	29	4	21	30	1	
415	15	14	29	4	21	30	1	
416	4	1	4	2	4	4	1	
417	4	1	4	2	4	4	1	
418	4	1	4	2	4	4	1	
419	4	1	4	2	4	4	1	
420	1	14	12	4	16	31	1	
421	5	18	12	29	12	9	39	
422	5	7	5	7	7	8	5	
423	10	8	25	8	6	25	6	
424	24	43	5	35	1	15	12	
425	7	22	15	2	10	6	1	
426	7	21	2	1	1	10	1	
427	1	1	5	27	20	1	1	
428	7	14	14	4	12	1	1	
429	25	44	31	4	16	32	28	
430	5	4	6	1	2	6	3	
431	5	4	6	1	2	6	3	
432	7	1	11	10	1	6	8	
433	2	14	5	36	12	17	21	
434	10	29	20	14	1	6	1	
435	7	1	11	10	1	4	8	
436	7	21	2	29	1	10	1	
437	7	14	14	4	12	1	1	
438	10	29	20	14	1	6	1	
439	4	1	4	2	4	4	1	
440	7	45	5	1	1	10	1	
441	7	21	2	1	5	10	1	
442	2	14	5	29	12	16	3	
443	8	26	16	19	15	6	40	
444	7	45	5	1	1	10	1	
445	15	31	8	8	18	15	1	
446	7	46	5	4	12	6	20	
447	5	4	6	1	2	6	3	
448	5	18	13	1	1	6	41	
449	7	1	11	10	1	6	8	
450	16	14	13	4	5	6	39	
451	26	19	9	15	14	9	16	
452	16	14	13	4	5	6	10	
453	2	1	8	37	4	6	1	
454	5	27	7	4	2	10	1	
455	1	14	12	1	23	15	26	
456	8	26	16	19	15	6	40	
457	7	46	5	4	12	6	20	
458	7	46	5	4	12	6	20	
459	1	47	5	4	11	9	3	
460	1	1	11	10	1	6	8	
461	5	1	5	7	7	8	5	
462	1	1	5	27	20	1	1	
463	2	14	5	1	12	16	3	
464	2	14	5	29	12	16	3	
465	2	1	13	2	4	9	4	
466	26	19	9	15	14	9	16	
467	7	1	11	10	1	6	8	
468	10	18	32	6	24	33	28	
469	7	1	11	10	1	6	8	
470	2	14	5	36	12	17	21	
471	1	6	8	9	9	6	4	
472	5	18	13	38	1	6	1	
473	8	17	9	2	1	6	1	
474	5	27	7	4	2	10	10	
475	1	6	8	6	2	6	4	
476	4	1	4	2	4	4	1	
477	4	1	4	2	4	4	1	
478	4	1	4	2	4	4	1	
479	4	1	4	2	4	4	1	
480	4	1	4	2	4	4	1	
481	4	1	4	2	4	4	1	
482	4	1	4	2	4	4	1	
483	4	1	4	2	4	4	1	
484	4	1	4	2	4	8	1	
485	4	1	4	2	4	4	1	
486	4	1	4	2	4	4	1	
487	4	1	4	2	4	4	1	
488	1	16	5	4	11	9	3	
489	5	4	6	1	2	6	3	
490	5	4	6	1	2	6	3	
491	5	48	6	1	2	6	3	
492	5	4	6	1	2	6	3	
493	5	4	6	1	2	6	3	
494	5	4	6	39	2	6	3	
495	1	16	5	4	11	9	3	
496	1	16	5	4	11	9	3	
497	1	16	5	4	11	9	3	
498	1	16	5	4	11	9	3	
499	1	16	5	4	18	9	3	
500	1	16	5	4	11	9	3	
501	1	16	5	4	11	9	3	
502	1	4	5	4	11	9	3	
503	1	51	5	2	11	9	3	
504	1	49	5	2	1	9	3	
505	1	47	5	4	11	9	3	
506	1	52	5	4	11	9	43	
507	2	1	13	2	15	6	1	
508	2	1	13	2	15	6	1	
509	2	1	13	2	15	6	1	
510	2	1	13	2	15	6	1	
511	2	1	13	2	15	6	1	
512	27	1	13	2	15	6	1	
513	7	1	11	10	1	6	42	
514	7	1	11	10	1	6	8	
515	5	4	6	33	2	6	3	
516	5	4	6	33	2	6	3	
517	5	4	6	33	2	6	3	
518	5	4	6	33	2	6	3	
519	5	4	6	33	2	6	3	
520	5	4	6	33	2	6	3	
521	5	4	6	1	2	6	3	
522	5	4	6	1	2	6	3	
523	7	50	8	1	1	15	14	
524	5	4	6	1	2	6	3	
525	5	4	6	1	2	6	3	
526	5	4	6	1	2	6	3	
527	5	4	6	1	2	34	3	
528	7	14	6	1	2	6	15	
529	7	14	22	1	2	5	1	
530	2	8	13	8	25	25	6	
531	1	8	5	4	5	35	3	
532	8	26	16	19	15	6	40	
533	2	14	5	1	11	16	3	
534	7	21	2	1	1	10	1	
535	2	14	5	1	11	16	3	
536	12	53	13	1	5	6	1	
537	26	19	9	15	14	9	16	
538	5	18	13	1	1	6	41	
539	4	1	4	2	4	4	1	
540	5	18	12	29	12	9	39	
541	26	19	9	15	14	9	16	
542	10	6	16	32	1	15	1	
543	2	1	13	1	4	6	12	
544	5	18	12	29	12	9	39	
545	7	14	14	40	12	1	1	
546	2	14	5	1	11	16	44	
547	10	29	20	14	1	6	1	
548	5	4	6	1	15	6	3	
549	7	22	15	2	10	6	1	
550	4	1	4	2	4	4	1	
551	5	4	6	1	15	6	3	
552	26	19	9	15	14	9	16	
553	7	46	5	4	1	6	20	
554	7	1	11	10	1	6	8	
555	7	45	2	40	1	10	1	
556	7	22	15	2	10	6	1	
557	12	20	8	1	5	17	4	
558	8	1	4	2	4	4	1	
559	5	4	6	1	2	6	3	
560	7	21	2	1	1	10	1	
561	26	19	9	15	14	9	16	
562	1	20	6	4	5	15	1	
563	7	1	11	10	1	6	8	
564	28	21	2	1	1	10	1	
565	5	4	6	41	2	6	3	
566	8	26	11	19	15	6	40	
567	5	54	6	1	2	6	3	
568	5	7	16	7	7	8	5	
569	2	14	6	6	12	16	3	
570	7	8	5	8	6	6	12	
571	7	1	5	10	1	6	8	
572	5	6	15	4	1	6	1	
573	4	47	4	2	4	4	1	
574	2	14	5	1	11	16	3	
575	16	18	2	4	1	6	10	
576	10	29	20	14	1	6	1	
577	2	1	11	2	1	17	1	
578	1	6	33	9	9	6	4	
579	7	1	11	10	1	6	8	
580	5	18	13	1	1	6	41	
581	4	1	4	2	4	4	1	
582	7	1	34	10	1	6	8	
583	16	17	35	1	16	9	45	
584	4	47	4	2	4	4	1	
585	1	8	5	4	5	5	1	
586	1	8	5	4	5	5	1	
587	7	1	11	10	1	6	8	
588	10	29	20	14	1	6	1	
589	10	29	20	14	1	6	1	
590	7	21	2	1	1	10	1	
591	7	21	2	1	1	24	1	
592	7	14	5	8	5	10	6	
593	2	14	5	1	11	16	3	
594	10	18	5	4	5	13	10	
595	8	6	8	9	9	6	4	
596	1	6	9	4	2	6	46	
597	1	16	5	4	18	9	3	
598	1	16	5	4	18	9	3	
599	1	16	5	4	11	9	3	
600	1	16	5	4	11	9	3	
601	1	16	5	4	11	9	3	
602	1	16	5	4	11	9	3	
603	1	16	5	4	11	9	3	
604	1	16	5	4	11	9	3	
605	1	16	5	4	11	9	3	
606	5	7	5	7	7	8	5	
607	7	1	11	10	1	6	8	
608	1	3	5	4	1	5	3	
609	7	55	5	4	26	10	3	
610	4	1	4	2	4	4	1	
611	4	1	4	2	4	4	1	
612	4	1	4	2	4	4	1	
613	5	4	6	1	2	6	3	
614	5	4	6	1	2	6	3	
615	5	28	6	1	2	6	1	
616	7	14	13	42	6	10	6	
617	7	14	13	42	6	10	6	
619	28	3	5	4	1	5	3	
620	5	28	6	43	2	6	1	
621	1	12	8	9	5	11	1	
622	4	26	16	19	15	6	20	
623	5	14	6	1	2	6	1	
624	15	26	16	19	15	6	20	
625	1	14	13	14	4	17	4	
626	8	1	10	2	16	1	26	
627	10	17	41	47	16	6	14	
628	12	53	13	1	5	6	1	
629	2	14	19	2	17	6	22	
630	7	1	11	10	1	6	8	
631	10	17	41	47	16	6	14	
632	7	8	13	8	6	6	12	
633	2	18	13	8	12	6	50	
634	1	16	5	4	11	9	3	
635	2	61	13	48	5	17	10	
636	2	61	13	48	5	17	10	
637	15	17	17	4	16	6	1	
638	4	1	4	2	4	4	1	
639	4	1	4	2	4	4	1	
640	2	14	34	9	1	10	4	
641	15	26	16	19	15	6	20	
642	30	1	4	2	4	4	1	
643	4	1	4	2	4	4	1	
644	15	50	16	19	15	6	20	
645	4	1	4	2	4	4	1	
646	4	1	4	2	4	4	1	
647	15	50	16	19	15	6	20	
648	4	1	4	2	4	4	1	
649	4	1	4	2	4	4	1	
650	4	1	4	2	4	4	1	
651	4	1	4	2	4	4	1	
652	2	14	34	9	27	10	4	
653	8	1	10	2	16	1	26	
654	2	14	34	9	27	10	4	
655	2	14	34	9	27	10	4	
656	4	1	4	2	4	4	1	
657	4	1	4	2	4	4	1	
658	4	1	4	2	4	4	1	
659	4	1	4	2	4	38	1	
660	4	1	4	2	4	4	1	
661	4	1	4	2	4	4	1	
662	4	1	4	2	4	4	1	
663	4	1	4	2	4	4	1	
664	4	1	4	2	4	4	1	
665	4	1	4	44	4	4	1	
666	4	1	4	2	4	4	1	
667	15	8	8	9	16	6	14	
668	4	1	4	2	4	4	1	
669	4	1	4	2	4	4	1	
670	4	1	4	2	4	4	1	
671	4	1	4	2	4	4	1	
672	4	1	4	2	4	4	1	
673	15	50	16	19	15	6	20	
674	4	1	4	2	4	4	1	
675	4	1	4	2	4	4	1	
676	4	1	4	2	4	4	1	
677	1	47	5	4	11	9	3	
678	1	47	5	4	11	9	3	
679	1	47	5	4	11	9	3	
680	16	33	12	9	1	41	33	
681	16	33	36	9	1	41	33	
682	16	33	12	9	1	41	33	
683	16	33	12	9	1	41	33	
684	4	1	4	2	4	4	1	
685	5	4	6	1	2	6	3	
686	7	1	11	10	1	6	8	
687	1	6	8	6	2	6	4	
688	1	16	5	4	11	9	3	
690	2	8	13	8	25	25	6	
691	7	14	22	1	2	5	1	
692	1	8	5	4	5	5	1	
693	1	3	5	4	1	5	3	
694	7	55	5	4	26	10	3	
695	5	28	6	43	2	6	1	
696	1	12	8	9	5	11	1	
697	15	26	16	19	15	6	20	7
698	15	14	29	4	21	30	1	
699	7	36	13	8	1	10	6	
700	2	42	13	4	15	6	47	
701	5	31	31	8	1	9	11	
702	7	14	8	8	8	6	28	
703	7	53	30	41	6	6	19	
704	8	31	8	4	15	9	12	
705	15	59	34	34	16	9	14	
706	18	14	30	2	6	31	19	
707	7	22	15	4	10	6	1	
708	7	22	15	2	2	6	1	
709	15	26	16	19	2	6	20	
710	1	14	12	4	16	31	1	
711	5	4	6	33	2	6	3	
712	5	4	6	1	2	6	3	
713	7	22	15	2	10	6	1	
714	7	22	15	2	10	6	1	
715	8	14	13	14	4	1	4	
716	8	14	13	14	4	1	4	
717	23	41	1	4	16	6	1	
718	31	5	31	4	34	6	4	
719	10	9	18	49	1	17	19	
720	10	9	5	4	1	7	19	
721	10	9	18	4	1	7	19	
722	13	8	8	13	5	17	4	
723	13	28	8	13	5	17	4	
724	12	20	8	13	5	16	4	
725	7	14	5	1	8	14	28	
726	7	21	2	1	1	31	1	
727	8	6	10	2	5	9	48	
728	1	6	43	41	18	13	49	
729	1	6	8	9	1	6	4	
730	7	14	11	10	1	6	1	
731	13	18	1	45	2	6	1	
732	7	68	11	10	1	6	8	
733	7	36	13	8	1	10	6	
734	7	36	13	8	1	10	6	
735	7	37	13	8	1	10	6	
736	7	37	13	8	1	10	6	
737	7	37	13	8	1	10	6	
738	7	37	13	8	1	10	6	
739	4	1	4	2	4	4	1	
740	4	1	4	2	4	4	1	
741	4	1	4	2	4	4	1	
742	20	14	28	1	1	15	14	
743	20	14	28	1	1	15	14	
744	20	14	28	1	1	15	14	
745	20	14	28	1	1	15	14	
746	20	14	28	1	1	15	14	
747	20	14	28	1	1	15	14	
748	20	14	28	1	1	15	14	
749	20	14	28	1	1	15	14	
750	20	14	28	1	1	15	14	
751	20	14	28	1	1	15	14	
752	1	14	28	1	1	15	14	
753	2	59	10	50	29	6	19	
754	7	8	43	10	6	27	6	
755	2	59	10	50	29	6	19	
756	7	1	11	10	1	6	8	
757	7	1	11	10	1	6	8	
758	7	1	11	10	1	6	8	
759	7	1	11	10	1	6	8	
760	7	1	11	10	1	6	8	
761	12	9	19	2	17	6	22	
762	7	1	5	10	18	6	8	
763	4	1	4	2	4	4	1	
764	15	26	16	19	15	6	20	
765	4	1	16	19	15	6	20	
766	2	62	5	15	16	6	3	
767	2	65	10	4	10	6	4	
768	2	18	13	8	12	6	6	
769	2	17	19	2	16	5	1	
770	2	64	43	29	10	17	1	
771	4	1	2	2	4	4	1	
772	4	1	16	19	15	6	20	
773	4	26	16	19	15	39	20	
774	7	60	1	2	17	15	22	
775	7	1	5	3	18	6	8	
776	7	14	5	23	18	15	3	
777	7	8	8	1	1	15	14	
778	7	1	11	4	1	6	8	
779	7	1	11	10	16	6	8	
780	7	23	11	10	1	6	8	
781	7	8	13	8	6	1	26	
782	7	8	13	8	6	6	2	
783	7	8	13	8	6	1	6	
784	7	8	13	8	6	15	26	
785	7	58	13	42	6	10	6	
786	7	8	25	4	4	17	20	
787	7	63	32	8	12	6	6	
788	8	14	8	4	15	39	12	
789	8	53	37	9	29	2	12	
790	10	66	8	2	1	40	28	
791	10	2	41	47	16	6	14	
792	12	57	8	9	3	3	20	
793	12	14	19	2	1	17	22	
794	12	62	19	2	17	6	22	
795	13	28	8	13	5	13	4	
796	15	6	16	19	15	6	20	
797	15	42	16	19	15	6	20	
798	1	65	5	9	5	6	3	
799	1	8	5	9	5	15	3	
800	1	6	8	4	2	6	4	
801	1	1	13	27	20	6	1	
802	7	14	13	8	6	15	20	
803	7	6	13	8	6	15	74	
804	7	8	13	8	6	6	20	
805	7	8	13	8	6	6	65	
806	7	8	13	8	6	6	6	
807	15	14	13	4	21	30	1	
808	43	14	5	1	10	7	58	
809	13	64	5	53	5	56	58	
810	7	90	11	10	1	6	1	
811	8	6	38	4	1	6	63	
812	2	8	22	4	18	27	4	
813	5	4	6	1	8	6	87	
814	5	9	5	4	1	9	1	
815	7	1	11	10	1	6	3	
816	1	15	5	27	23	6	1	
817	15	14	16	19	18	6	20	
818	7	9	13	4	5	7	88	
819	2	14	5	36	12	17	1	
820	15	17	10	2	16	1	1	
821	2	1	8	2	4	6	1	
822	4	26	16	19	15	6	20	
