id	isolate	aliases	country	year	serotype	Sp_cgc_1000
1854	mar/43		UK [Scotland]	2003	15	
1855	L2003-01222	2719	USA	1999	14	
1856	L2003-01210	C112232	USA	2000	14	
1857	L2003-01293	2563	USA	1998	14	
1858	03-1714		UK [Scotland]	2003	14	
1859	mar/22		UK [Scotland]	2003	14	
1860	mar/20		UK [Scotland]	2003	8	
1861	jan/97		UK [Scotland]	2001	31	
1862	jan/82		UK [Scotland]	2001	10	
1863	APO-445	445	Poland	1993	6B	
1864	APO-446	446	Poland	1993	6B	
1865	2510		USA	1989	6B	
1866	Q0612		Papua New Guinea	1992	6B	
1867	AZA-1	Z22	Zambia	1994	6A	
1868	AZA-2	Z23	Zambia	1994	6A	
1869	2492		USA	1989	6B	
1870	2460		USA	1982	6B	
1871	URUG46	1333	Uruguay	2000	7F	
1872	HUNG47	15141/02	Hungary	2002	NT	
1873	COLO25	E473	Colombia	2001	6B	
1874	ARGE42	5011	Argentina	2001	3	
1875	HUNG31	36482/01	Hungary	2001	13	
1876	URUG29	1612	Uruguay	2001	19A	
1877	MEXI48	205HIM	Mexico	1998	3	
1878	CZEC30	1143	Czech Republic	2000	6A	
1879	HUNG38	8509/2002	Hungary	2002	23F	
1880	URUG24	1574	Uruguay	2001	6B	
1881	BRAZ49	st.278.02	Brazil	2002	7F	
1882	BRAZ50	st.1066.01	Brazil	2001	7F	
1883	ARGE27	5026	Argentina	2001	6B	
1884	BRAZ29	st.320.01	Brazil	2001	6B	
1885	CZEC46	6518	Czech Republic	1996	6B	
1886	HUNG16	591/01	Hungary	2001	NT	
1887	ARGE28	5104	Argentina	2001	6B	
1888	COLO22	210	Colombia	1995	6B	
1889	MEXI23	365HIM	Mexico	2001	6B	
1890	COLO24	E342	Colombia	2000	6B	
1891	URUG26	1431	Uruguay	2000	19A	
1892	BRAZ27	st.31.02	Brazil	2002	6B	
1893	COLO21	149	Colombia	1995	6B	
1894	COLO48	E444	Colombia	2001	23F	
1895	HUNG15	46893/00	Hungary	2000	4	
1896	ARGE26	5023	Argentina	2001	6B	
1897	HUNG30	36460/01	Hungary	2001	NT	
1898	MEXI29	13 HNP	Mexico	1995	5	
1899	HUNG23	20568/01	Hungary	2001	3	
1900	CZEC49	33	Czech Republic	2000	6B	
1901	mar/18		UK [Scotland]	2003	38	
1902	mar/19		UK [Scotland]	2003	6A	
1903	mar/32		UK [Scotland]	2003	9V	
1904	mar/49		UK [Scotland]	2003	6A	
1905	103-03		Kenya	2002	13	
1906	1179-03		Kenya	2002	21	
1907	1139-03		Kenya	2002	35B	
1908	1160-03		Kenya	2002	35B	
1909	1172-03		Kenya	2002	7F	
1910	1174-03		Kenya	2002	7F	
1911	PT464		Portugal	2001	19F	
1912	PT1304		Portugal	2001	6C	
1913	PT1620		Portugal	2001	19A	
1914	PT1696		Portugal	2001	6A	
1915	PT3201		Portugal	2002	NT	
1916	PT3700		Portugal	2002	10	
1917	PT4400		Portugal	2002	NT	
1918	PT5002		Portugal	2003	NT	
1919	398/03		Norway	2003	23A	
1920	403/03		Norway	2003	6B	
1921	405/03		Norway	2003	19A	
1922	406/03		Norway	2003	14	
1923	407/03		Norway	2003	14	
1924	408/03		Norway	2003	6B	
1925	409/03		Norway	2003	19F	
1926	410/03		Norway	2003	15B/C	
1927	413/03		Norway	2003	3	
1928	414/03		Norway	2003	23F	
1929	415/03		Norway	2003	19F	
1930	417/03		Norway	2003	6B	
1931	418/03		Norway	2003	23A	
1932	419/03		Norway	2003	19F	
1933	1204/03		Norway	2003	19F	
1934	1212/03		Norway	2003	6A	
1935	1228/03		Norway	2003	19F	
1936	1421-01		USA	2001	1	
1937	3159-01		USA	2001	6A	
1938	4613-01		USA	2001	7F	
1939	6558-01		USA	2001	6B	
1940	mar/37		UK [Scotland]	2003	4	
1941	mar/99		UK [Scotland]	2003	23F	
1942	mar/67		UK [Scotland]	2003	11A	
1943	mar/83		UK [Scotland]	2003	18C	
1944	mar/65		UK [Scotland]	2003	11	
1945	mar/60	11	UK [Scotland]	2003	NT	
1946	IO10001		Finland	1996	19A	
1947	IO10815	IO10815	Finland	1997	23F	
1948	IO11002	IO11002	Finland	1997	6A	
1949	IO1066		Finland		23F	
1950	IO10579	IO10579	Finland	1997	23F	
1951	IO10716		Finland	1997	6A	
1952	IO13048		Finland	1999	6A	
1953	IO12665		Finland	1999	19A	
1954	IO12019		Finland	1998	6A	
1955	IO717		Finland	1995	18C	
1956	IO10032		Finland		6B	
1957	IO10278		Finland		18C	
1958	IO12197		Finland		18C	
1959	IO721		Finland		14	
1960	IO10513		Finland		14	
1961	IO11606		Finland		23F	
1962	IO12886		Finland		14	
1963	IO10420		Finland		14	
1964	IO12089		Finland		19F	
1965	IO11859		Finland		19F	
1966	IO11201		Finland		25	
1967	IO797		Finland		19F	
1968	IO12720		Finland		6B	
1969	IO644		Finland		6B	
1970	IO10142		Finland		19F	
1971	PJ1307		Sweden		9V	
1972	PJ1299		Sweden		9V	
1973	NHRC-SD-01	BA65340	USA		NT	
1974	mar/93		UK [Scotland]		37	
1975	2807-02		Kenya		23F	
1976	OXC191		UK [England]		6A	
1977	OXC210		UK [England]		6A	
1978	MEXI_54	123_H.M.	Mexico		6B	
1979	MEXI_56	178_H.S.J	Mexico		6A	
1980	MEXI_59	102_I.N.C.	Mexico		15A	
1981	MEXI_68	204_H.I.M.	Mexico		14	
1982	MEXI_69	29_H.N.M.	Mexico		9V	
1983	jan/23		UK [Scotland]		18	
1984	fev/21		UK [Scotland]		23	
1985	03-1669		UK [Scotland]		18C	
1986	mar/58		UK [Scotland]		9N	
1987	Pn 2798		Portugal		19F	
1988	Pn 3012		Portugal		33F	
1989	04-1103		The Netherlands		15	
1990	04-1108		The Netherlands		19A	
1991	MEXI 66	12INDRE	Mexico		14	
1992	PM133		Israel		11A	
1993	C99NP167		Israel		11A	
1994	C99NP324		Israel		11A	
1995	C0621		Israel		11A	
1996	AOM525		Israel		15B/C	
1997	AOM7		Israel		15B/C	
1998	AOM1259		Israel		15B/C	
1999	AOM1087		Israel		15B/C	
2000	62597AG99		Costa Rica		19F	
2001	62573AG00		Costa Rica		19F	
2002	63GA00		Costa Rica		19F	
2003	64GA00		Costa Rica		19F	
2004	6494-99	O804923	USA		35B	
2005	1264-00	CTA0747	USA		6A	
2006	3166-03	C126143	USA		9N	
2007	3871-03		USA		7C	
2008	4725-03		USA		10A	
2009	5020-02		USA		6B	
2010	1200-03		Kenya		15B	
2011	5478-02		USA		6A	
2012	5676-01		USA		23F	
2013	fev/30		UK [Scotland]		14	
2014	fev/34		UK [Scotland]		14	
2015	fev/44		UK [Scotland]		23	
2016	fev/21		UK [Scotland]		6	
2017	04-1105		The Netherlands		19F	
2018	mar/88		UK [Scotland]		19F	
2019	mar/26		UK [Scotland]		11A	
2020	V0219		Portugal		3	
2021	V0409		Portugal		4	
2022	V0635		Portugal		4	
2023	V0341		Portugal		5	
2024	V0926		Portugal		6B	
2025	V0772		Portugal		9V	
2026	V0766		Portugal		10A	
2027	RP2256		Sweden		14	
2028	DCC-Pn1581		Portugal		19	
2029	IOPR5268		Finland		NT	
2030	V0034		Portugal		3	
2031	V0202		Portugal		10A	
2032	V0361		Portugal		18A	
2033	V0359		Portugal		18C	
2034	fev/39		UK [Scotland]		NT	
2035	mar/66		UK [Scotland]		6B	
2036	mar/76		UK [Scotland]		12	
2037	mar/67		UK [Scotland]		23F	
2038	mar/09		UK [Scotland]		18C	
2039	mar/43		UK [Scotland]		1	
2040	04-1091		UK [Scotland]		6B	
2041	04-1148		UK [Scotland]		14	
2042	mar/89		UK [Scotland]		18C	
2043	mar/00		UK [Scotland]		9V	
2044	mar/01		UK [Scotland]		22F	
2045	mar/27		UK [Scotland]		23F	
2046	04-1024		UK [Scotland]		14	
2047	mar/04		UK [Scotland]		1	
2048	IOPR2837		Finland		NT	
2049	mar/28		UK [Scotland]		6	
2050	mar/02		UK [Scotland]		10F	
2051	04-1009		UK [Scotland]		6B	
2052	04-1018		UK [Scotland]		14	
2053	04-1253		UK [Scotland]		3	
2054	04-1269		UK [Scotland]		14	
2055	04-1029		UK [Scotland]		18C	
2056	04-1241		UK [Scotland]		6B	
2057	0686-02		USA		20	
2058	4250-02		USA		19F	
2059	4715-03		USA		15B/C	
2060	5544-02		USA		13	
2061	LAR 28		Poland	2011	19F	
2062	4304-03		USA		15B/C	
2063	11190		USA		10A	
2064	1164-03		Kenya		15B/C	
2065	IOPR-767		Finland		14	
2066	IOPR-1592		Finland		23F	
2067	IOPR-891		Finland		23F	
2068	6099-02		USA		15B/C	
2069	11326		USA		8	
2070	6573-01		USA		9V	
2071	C2003003522		USA		NT	
2072	EU245	B8	Turkey		9A	
2073	EU448	B41	Turkey		33A	
2074	EU453	B67	Turkey		35A	
2075	EU454	B76	Turkey		19A	
2076	EU463	C27	Turkey		23F	
2077	EU479	P16	Turkey		15B/C	
2078	EU304	P20	Turkey		23B	
2079	PT1817		Portugal		NT	
2080	7077		Denmark		37	
2081	975		Spain		37	
2082	44	HRyC44	Spain		37	
2083	Dawn		USA		37	
2084	1235		Spain		37	
2085	5	HRyC5	Spain		37	
2086	PT1750		Portugal		19F	
2087	s1_58	RKI995	Germany		1	
2088	s1_68	2	South Africa		1	
2089	s1_121	49055	Kenya		1	
2090	s1_150	806	France		1	
2091	s1_2	5562-01	USA		1	
2092	s1_5	2937-01	USA		1	
2093	s1_7	6021-01	USA		1	
2094	s1_9	5258-01	USA		1	
2095	s1_77	3124	Canada		1	
2096	s1_110	1697	USA		1	
2097	s1_162	MA060194	Canada		1	
2098	s1_11	1	Spain		1	
2099	s1_143	1191	France		1	
2100	s1_159	MA056280	Canada		1	
2101	INV1871		UK		1	
2102	s1_8	5110-01	USA		1	
2103	s1_4	5916-01	USA		1	
2104	s1_19	9	Spain		1	
2105	s1_35	1281/01	Norway		1	
2106	s1_144	831	France		1	
2107	s1_168	MA063461	Canada		1	
2108	s1_30	1100/00	Denmark		1	
2109	s1_3	5672-01	USA		1	
2110	s1_14	4	Spain		1	
2111	s1_25	841/98	Denmark		1	
2112	s1_36	1283/01	Norway		1	
2113	s1_57	RKI943	Germany		1	
2114	s1_103	388	Poland		1	
2115	s1_145	1230	France		1	
2116	s1_165	MA061862	Canada		1	
2117	s1_71	5	South Africa		1	
2118	s1_45	1669	Israel		1	
2119	s1_67	1	South Africa		1	
2120	s1_125	48973	Kenya		1	
2121	s1_126	48752	Kenya		1	
2122	s1_1	2752-01	USA		1	
2123	s1_87	P22	Chile		1	
2124	NCTC 7465	reference strain	USA		1	
2125	s1_102	302	Poland		1	
2126	s1_38	1328/01	Norway		1	
2127	LAR 29		Poland	2011	3	
2128	LAR 31		Poland	2011	6B	
2129	LAR 36		Poland	2011	23F	
2130	NP 38		Poland	2011	15	
2131	NP 49		Poland	2011	15	
2132	NP 63		Poland	2011	22F	
2133	LAR 65		Poland	2011	6B	
2134	LAR 66		Poland	2011	15B	
2135	LAR 70		Poland	2011	6B	
2136	LAR 74		Poland	2011	6A	
2137	LAR 75		Poland	2011	23A	
2138	LAR 76		Poland	2011	23F	
2139	LAR 77		Poland	2011	15	
2140	IOPR193		Finland		NT	
2141	3617-03		USA		24F	
2142	3807-03		USA		6A	
2143	5070-03		USA		17F	
2144	5653-02		USA		22F	
2145	5664-02		USA		19A	
2146	6248-02		USA		6A	
2147	1435-02		USA		19A	
2148	mar/01		UK		19	
2149	04-1078		UK		28	
2150	04-1169		UK		3	
2151	04-1372		UK		6A	
2152	04-1381		UK		9N	
2153	04-1399		UK		18C	
2154	mar/14		UK		11A	
2155	mar/93		UK		9N	
2156	04-1075		UK		9V	
2157	04-1238		UK		14	
2158	04-1173		UK		18C	
2159	04-1321		UK		4	
2160	mar/40		UK		1	
2161	04-1259		UK		1	
2162	04-1045		UK		20	
2163	2493	ALA 36	USA		6B	
2164	AGC29	353	Greece		6B	
2165	L80216		USA		6B	
2166	2498	ALA-41	USA		6B	
2167	ACA-C1	37	Canada		6B	
2168	703	703	USA		6B	
2169	ACA-C22	63	Canada		6B	
2170	ACA-D17	3711	Canada		6B	
2171	AKU33	50	Kuwait		6B	
2172	ABU-416	613	Bulgaria		6B	
2173	AHA-9	Hu-18	Hungary		6B	
2174	AKU38	55	Kuwait		6A	
2175	ASL-944		Slovakia		6B	
2176	APH-10	10	Philippines		6B	
2177	APH-33	33	Philippines		6A	
2178	APH-9	9	Philippines		6A	
2179	AAU-19	98S204	Australia		6B	
2180	AAU-33	98S489	Australia		6A	
2181	AGC40	642	Greece		6A	
2182	ABU-413	413	Bulgaria		6A	
2183	AGC16	90	Greece		6A	
2184	AGC41	643	Greece		6A	
2185	AGL25	54340	Greenland		6A	
2186	APO-443	443	Poland		6A	
2187	ASW-10	OL-6283	Sweden		6A	
2188	LAR 80		Poland	2011	6B	
2189	LAR 49B		Poland	2011	19F	
2190	LAR 71		Poland	2011	9V	
2191	KSA107	pre Africa 1289	Saudi Arabia	2012	8	
2192	KSA111	pre Africa 1398	Saudi Arabia	2012	13	
2193	KSA112	pre Africa 1438	Saudi Arabia	2012	11A	
2194	KSA115	pre Africa 1575	Saudi Arabia	2012	19F	
2195	KSA116	pre Africa 1604	Saudi Arabia	2012	8	
2196	695	695	USA		6B	
2197	ARO-431	431	Romania		6A	
2198	ASA-20	74083	South Africa		6B	
2199	ACR-3	CAR106	Central African Republic		6A	
2200	ABW-6	B55	Botswana		6A	
2201	ACA-C2	63	Canada		6B	
2202	AIS-C36	P-050	Israel		6A	
2203	AIS-C31	P-007	Israel		6B	
2204	ATH-C21	1821	Thailand		6B	
2205	CH237	h1103	China		6A	
2206	ACH-C2	16/01/2004	Chile		6A	
2207	AIS-C6	DCC 2037	Israel		6A	
2208	AIS-C9	DCC 2018	Israel		6A	
2209	AGC50	901	Greece		6B	
2210	Co-149	149	Colombia		6B	
2211	ABU-441	441	Bulgaria		6B	
2212	T17=SK59	T17	South Africa		6A	
2213	ASA-22		South Africa		6A	
2214	ASA-3	22037	South Africa		6A	
2215	AIS-C48		Israel		6B	
2216	2489	ALA 32	USA		6B	
2217	BG12740	GM-38-6430	The Gambia		6A	
2218	BG12741	GM-343	The Gambia		6B	
2219	P1076	C5549	Ghana		14	
2220	P1075	C5459	Ghana		14	
2221	P1077	C5552	Ghana		14	
2222	P1046	C5403	Ghana		1	
2223	P1081	C5620	Ghana		8	
2224	P1009	C5043	Ghana		8	
2225	P1082	C5621	Ghana		8	
2226	P1059	C5443	Ghana		6A	
2227	P1086	CM113	Ghana		4	
2228	P1030	C5127	Ghana		1	
2229	P1085	C5539	Ghana		1	
2230	P1040	C5369	Ghana		14	
2231	P1034	C5201	Ghana		1	
2232	P1044	C5389	Ghana		7F	
2233	P1092	CM049/03	Ghana		1	
2234	P1090	C5673	Ghana		1	
2235	P1079	C5615	Ghana		1	
2236	P1083	C5456	Ghana		38	
2237	P1091	C5674	Ghana		12F	
2238	P1035	C5206	Ghana		1	
2239	CHW18	600	Australia		19A	
2240	CHW19	665	Australia		6B	
2241	CHW20	782	Australia		6B	
2242	P1065	C5457	Ghana		8	
2243	3876-02		USA		23A	
2244	5790-01		USA		22F	
2245	6485-01		USA		23A	
2246	3133-02		USA		19A	
2247	3813-03		USA		19F	
2248	4085-03		USA		19A	
2249	mar/60		UK		29	
2250	mar/40		UK		29	
2251	04-1046		UK		18C	
2252	04-1642		UK		3	
2253	04-1720		UK		20	
2254	04-1837		UK		1	
2255	EU445	B3	Turkey		35B	
2256	EU244	B7	Turkey		6B	
2257	EU257	B58	Turkey		23B	
2258	EU299	P4	Turkey		6A	
2259	EU305	P29	Turkey		19F	
2260	EU309	P35	Turkey		31	
2261	EU451	B52	Turkey		4	
2262	EU485	P74	Turkey		19F	
2263	3666		Portugal		6B	
2264	1378		Portugal		18C	
2265	3190		Portugal		9V	
2266	3664		Portugal		19A	
2267	04-1734		UK		19F	
2268	abr/58		UK		6A	
2269	abr/30		UK		18C	
2270	abr/63		UK		13	
2271	3970		Poland		6A	
2272	9252		Poland		23F	
2273	V0527		Portugal		12B	
2274	V0904		Portugal		14	
2275	V0959		Portugal		35	
2276	V1212		Portugal		33F	
2277	V1219		Portugal		35	
2278	V0963		Portugal		6A	
2279	V0279		Portugal		14	
2280	V1123		Portugal		23F	
2281	V1059		Portugal		22F	
2282	5253-01		USA		19F	
2283	3975-02		USA		19A	
2284	4268-03		USA		9N	
2285	5024-03		USA		12F	
2286	PJ-2298		Sweden		3	
2287	PJ-2192		Sweden		6A	
2288	PJ-2276		Sweden		6A	
2289	04-1164		UK		8	
2290	04-1561		UK		18C	
2291	04-1624		UK		18C	
2292	abr/11		UK		16F	
2293	abr/31		UK		14	
2294	abr/83		UK		6A	
2295	H042880586		UK		14	
2296	H0 4288 0581 S		UK		14	
2297	H0 4312 0510		UK		33F	
2298	O03101		USA		19F	
2299	8855		USA		23F	
2300	8264		USA		6A	
2301	3806		USA		6B	
2302	3011		USA		19F	
2303	557		USA		23F	
2304	8334		USA		6B	
2305	E10101		USA		7F	
2306	5093		USA		19	
2307	20001032		USA		23	
2308	4641		USA		6	
2309	04-1854		UK		10F	
2310	abr/77		UK		5	
2311	abr/00		UK		35B	
2312	20012772		USA		6A	
2313	6132		USA		6	
2314	2759		Finland		6B	
2315	1781-30		Finland		6B	
2316	3584-10		Finland		6B	
2317	IOPR1319-38		Finland		6B	
2318	127		Poland		9N	
2319	141		Poland		23F	
2320	1451		Poland		23F	
2321	1502		Poland		23F	
2322	1425		Poland		23F	
2323	3302		Poland		6B	
2324	1430		Poland		6B	
2325	852		Poland		6B	
2326	817		Poland		6B	
2327	822		Poland		6B	
2328	853		Poland		23F	
2329	1011		Poland		23F	
2330	24		Poland		6B	
2331	29		Poland		6B	
2332	22		Poland		6B	
2333	3503		Poland		6B	
2334	3499		Poland		6B	
2335	3501		Poland		6B	
2336	77		Poland		6B	
2337	1021		Poland		NT	
2338	1020		Poland		19F	
2339	1009		Poland		19F	
2340	1036		Poland		19F	
2341	1165		Poland		19F	
2342	3445		Poland		23F	
2343	1163		Poland		23F	
2344	3347		Poland		6A	
2345	851		Poland		6A	
2346	1160		Poland		7C	
2347	P2008003	9901	USA		19F	
2348	P2070025	9902	South Korea		19F	
2349	P3533053	9903	Mexico		19F	
2350	P3030066	9903	Italy		19F	
2351	P3684041	9903	South Africa		19F	
2352	P3008030	9904	USA		19F	
2353	PU1011029	9904	USA		19F	
2354	P3687006	9905	South Africa		19F	
2355	P3083045	9906	Japan		19F	
2356	P3685022	9906	South Africa		19F	
2357	P3685030	9906	South Africa		19F	
2358	P3681191	9907	South Africa		19F	
2359	P3685008	9908	South Africa		19F	
2360	P3684012	9909	South Africa		19F	
2361	P3687064	9910	South Korea		19F	
2362	P2071007	9910	South Africa		19F	
2363	P3009031	9911	USA		19F	
2364	P3687025	9912	South Korea		19F	
2365	P3687026	9912	South Korea		19F	
2366	P1070033	9912	South Korea		19F	
2367	P1071025	9912	South Korea		19F	
2368	P1071026	9912	South Korea		19F	
2369	P2071004	9912	South Korea		19F	
2370	P2071057	9912	South Korea		19F	
2371	P2071066	9912	South Korea		19F	
2372	P3070040	9912	South Korea		19F	
2373	P3071032	9912	South Africa		19F	
2374	P3071038	9912	South Africa		19F	
2375	P3680025	9913	South Korea		19F	
2376	P3071019	9913	South Korea		19F	
2377	P3071024	9913	South Africa		19F	
2378	PU1014050	9913	USA		19F	
2379	P2090056	9948	Australia		19F	
2380	PU1182007	9949	USA		19F	
2381	PU1188026	9949	USA		19F	
2382	PU1188027	9949	USA		19F	
2383	PU2117027	9950	USA		19F	
2384	PU2127043	9951	USA		19F	
2385	P3079015	9915	Japan		6B	
2386	P3079039	9915	Japan		6B	
2387	P2071035	9916	South Korea		19F	
2388	P2085016	9917	Japan		19A	
2389	P2085031	9917	Japan		19A	
2390	P3081010	9917	Japan		19A	
2391	P3083024	9917	Japan		19A	
2392	P3083201	9917	Japan		19A	
2393	P3085046	9917	Japan		19A	
2394	P3085075	9917	Japan		19A	
2395	P3697015	9918	Taiwan		16F	
2396	P1650005	9922	Hungary		19F	
2397	P2084022	9922	Japan		19F	
2398	P3084014	9922	Japan		19F	
2399	P2650046	9922	Hungary		19F	
2400	P1005042	9923	USA		19F	
2401	P1071057	9924	South Korea		14	
2402	P2085004	9925	Japan		19F	
2403	P2085015	9925	Japan		19F	
2404	P2085048	9925	Japan		19F	
2405	P3003026	9926	USA		19F	
2406	P1071050	9928	South Korea		19F	
2407	P2082009	9929	Japan		23F	
2408	P3081133	9929	Japan		23F	
2409	P3081102	9930	Japan		23F	
2410	P1085044	9931	Japan		23F	
2411	P2085041	9932	Japan		23F	
2412	P1085032	9932	Japan		19A	
2413	P3070010	9934	South Korea		34	
2414	P3695026	9935	Taiwan		6B	
2415	P3081094	9936	Japan		23F	
2416	P1083057	9937	Japan		23F	
2417	P3081080	9938	Japan		23F	
2418	P3680055	9939	South Africa		23F	
2419	P3680068	9939	South Africa		23F	
2420	P3681021	9939	South Africa		23F	
2421	P3684022	9939	South Africa		23F	
2422	P3687023	9939	South Africa		23F	
2423	P3680046	9940	South Africa		23F	
2424	P3681024	9940	South Africa		23F	
2425	P3035016	9941	Mexico		19F	
2426	P3680031	9943	South Africa		6A	
2427	P3030054	9944	Mexico		19F	
2428	P1071264	9945	South Korea		19A	
2429	P1071021	9946	South Korea		NT	
2430	P1007029	9947	USA		19A	
2431	P2084024	9914	Japan		6B	
2432	P3085202	9917	Japan		19A	
2433	P3689038	9927	South Africa		19F	
2434	P3684073	9939	South Africa		23F	
2435	P3684074	9939	South Africa		23F	
2436	P3140033	9942	China		7F	
2437	P3007067	9947	USA		19A	
2438	PU1058099		USA		19F	
2439	PU1110008		USA		19F	
2440	PU1116130		USA		19F	
2441	PU1118014		USA		19F	
2442	PU1120121		USA		19F	
2443	PU1173209		USA		19F	
2444	PU1213001		USA		19F	
2445	PU2129047		USA		19F	
2446	PU2228003		USA		19F	
2447	PU2235024		USA		19F	
2448	PU2245023		USA		19F	
2449	PU3009017		USA		19F	
2450	PU3059059		USA		19F	
2451	PU3067047		USA		19F	
2452	PU3154007		USA		19F	
2453	PU3154036		USA		19F	
2454	PU3290003		USA		19F	
2455	abr/95		UK		3	
2456	1249		Portugal		4	
2457	k-680		Poland		22F	
2458	k-648		Poland		19F	
2459	172		Poland		18C	
2460	k-408		Poland		NT	
2461	312		Poland		NT	
2462	32		Poland		27	
2463	2645		Poland		6A	
2464	1389		Poland		14	
2465	2115		Poland		39	
2466	6318		Poland		23F	
2467	k-551		Poland		8	
2468	k-595		Poland		34	
2469	456		Poland		23F	
2470	462		Poland		20	
2471	4		Poland		7F	
2472	k-715		Poland		22A	
2473	AP041		Italy		6A	
2474	AP156		Italy		11A	
2475	Pn12		Italy		8	
2476	AP043		Italy		14	
2477	AP058		Italy		14	
2478	PT009		Italy		14	
2479	2804		Portugal		19F	
2480	9111		Poland		4	
2481	1141		Poland		19F	
2482	748		Poland		6B	
2483	2084		Poland		7C	
2484	2105		Poland		14	
2485	1664		Poland		34	
2486	361		Poland		23A	
2487	1217		Poland		17F	
2488	1951		Poland		7F	
2489	04-1852		UK		10A	
2490	abr/77		UK		21	
2491	abr/68		UK		23F	
2492	abr/36		Hungary		23F	
2493	abr/38		Hungary		23F	
2494	2700		Poland		34	
2495	719		Poland		15B	
2496	1630		Poland		28F	
2497	7849		Poland		2	
2498	1581		Poland		6B	
2499	585		Poland		23F	
2500	2674		Poland		3	
2501	6144		USA		14	
2502	2821		USA		6B	
2503	6141		USA		11A	
2504	2817		USA		3	
2505	20008420		USA		19F	
2506	4944		USA		10	
2507	20008073		USA		33F	
2508	20001359		USA		18C	
2509	20007251		USA		18C	
2510	6090		USA		6	
2511	6248		USA		6	
2512	5895		USA		6	
2513	5621		USA		2	
2514	4883		USA		9	
2515	3577		USA		19F	
2516	20007781		USA		5	
2517	5095		USA		19	
2518	20007284		USA		18C	
2519	abr/45		UK		19A	
2520	abr/14		Hungary		23F	
2521	111604		USA		12F	
2522	111605		USA		12F	
2523	6125		USA		14	
2524	5619		USA		14	
2525	4594		USA		11	
2526	2789		USA		19F	
2527	2776		USA		23F	
2528	2460		USA		19F	
2529	2448		USA		19F	
2530	20003515		USA		7C	
2531	20007758		USA		6B	
2532	20007873		USA		14	
2533	P14-101		USA		6B	
2534	Q08-104		USA		6B	
2535	PT1718		Portugal		NT	
2536	DCC1795		Portugal		NT	
2537	4790		France		23	
2538	4843		France		23	
2539	4935		France		3	
2540	5031		France		23	
2541	5104		France		23	
2542	PS559	3402	Germany	1992	6B	
2543	CAP16	20615	Germany	2003	19F	
2544	CAP25	20624	Germany	2004	6B	
2545	RKI1205	1205	Germany	2002	19F	
2546	RKI372	372	Germany	1998	19A	
2547	PW 1905		Italy		6A	
2548	RKI627	627	Germany	2000	6B	
2549	RKI830	830	Germany	2000	14	
2550	PS1163	4006	Germany	1993	6B	
2551	PS4263	6890	Germany	2002	10A	
2552	PS1862	4705	Germany	1995	9V	
2553	BAN 14a		Bangladesh		7B	
2554	BAN39	14816	Bangladesh		7B	
2555	BAN 68	14845	Bangladesh		9V	
2556	BAN 94	14871	Bangladesh		7B	
2557	PS1	2844	Germany	1992	14	
2558	PS679	3522	Germany	1993	6B	
2559	CAP10	20609	Germany	2003	6B	
2560	RKI1110	1110	Germany	2002	14	
2561	RKI1117	1117	Germany	2002	9A	
2562	PW 735		Spain		19A	
2563	PW 931		France		19A	
2564	RKI852	852	Germany	2001	6A	
2565	CAP66	20665	Germany	2004	6C	
2566	PS3138	5981	Germany	2000	14	
2567	PS2182	5025	Germany	1996	14	
2568	PS3221	6064	Germany	2000	14	
2569	PS3236	6079	Germany	2000	14	
2570	PS3339	6182	Germany	2000	14	
2571	PS3272	6115	Germany	2000	14	
2572	RKI1019	1019	Germany	2001	19A	
2573	PS1420	4263	Germany	1994	6B	
2574	RKI796	796	Germany	2000	7F	
2575	EU 98		Switzerland		15B	
2576	PS2598	5441	Germany	1997	9V	
2577	EU 20		France		3	
2578	PW 786		Belgium		1	
2579	PS3219	6062	Germany	2000	9V	
2580	PS3316	6159	Germany	2000	9V	
2581	CAP58	20657	Germany	2003	9V	
2582	EU 63		Poland		6A	
2583	PW 1891		Italy		19F	
2584	PS52	2895	Germany	1992	19F	
2585	RKI271	271	Germany	1998	15A	
2586	PS2938	5781	Germany	1999	15A	
2587	PS1995	4838	Germany	1995	19F	
2588	CAP72	20709	Germany	2002	9N	
2589	PS3286	6129	Germany	2000	19F	
2590	PS301	3144	Germany	1992	19F	
2591	PS3256	6099	Germany	2000	14	
2592	RKI1157	1157	Germany	2002	19F	
2593	PS1848	4691	Germany	1995	19F	
2594	RKI810	810	Germany	2000	23F	
2595	PS1170	4013	Germany	1993	23F	
2596	PW2216	9644	Germany	2003	19F	
2597	PW 169		Spain		35B	
2598	BAN 61	14838	Bangladesh		7B	
2599	RKI381	381	Germany	1998	19F	
2600	RKI176	176	Germany	1997	19A	
2601	RKI662	662	Germany	2000	29	
2602	RKI1083	1083	Germany	2001	7F	
2603	RKI1162	1162	Germany	2002	6B	
2604	PS1983	4826	Germany	1995	19F	
2605	PS3298	6141	Germany	2000	14	
2606	PS1697	4540	Germany	1995	23F	
2607	PS3133	5976	Germany	2000	14	
2608	PS3182	6025	Germany	2000	23F	
2609	PW 802		Italy		23F	
2610	PW 836		Italy		23F	
2611	PW 1872		France		23F	
2612	CAP11	20610	Germany	2002	6A	
2613	CAP12	20611	Germany	2003	19F	
2614	CAP47	20646	Germany	2002	6A	
2615	CAP75	20712	Germany	2003	19F	
2616	CAP91	20880	Germany	2004	11A	
2617	BAN14	14791	Bangladesh		7B	
2618	RRR 634		South Africa		19A	
2619	RRR 643		South Africa		19A	
